author_name,comment,date,time,comment_likes,no_of_replies,reply
Abhishek Singh,sir please upload more video with real numerical questions for interview,2023-10-15T00:10:08Z,2023-10-15T00:10:08Z,0,0,[]
jyothi26rab,ur vedios aand ur explainations are so good i cant wat to attend ur love clasees thank u,2023-10-02T07:18:42Z,2023-10-02T07:18:42Z,0,0,[]
Heeralal Choudhary,Best teacher,2023-09-30T05:20:09Z,2023-09-30T05:20:09Z,0,0,[]
Jabbar Babu,Thanks for the video. But sorry to say that you skipped something. You told Tutorial 13 in this play list you will show how to convert power law distribution to normal distribution in python. how about that,2023-09-29T16:12:38Z,2023-09-29T16:12:38Z,1,0,[]
Arshad Aafaq D,"Hi krish sir, you were suppose to create a video on box cox transformation",2023-08-26T16:09:10Z,2023-08-26T16:09:10Z,1,0,[]
Madhumohan Ajv,Salute sir â¤,2023-08-16T16:27:54Z,2023-08-16T16:27:54Z,0,0,[]
Fouzan,can you tell me the software you are using to write,2023-08-15T09:32:25Z,2023-08-15T09:32:25Z,0,0,[]
Muhammad Hidayat Khan,"Kindly, Make part 2 & 3. Thanks",2023-07-08T10:41:16Z,2023-07-08T10:41:16Z,0,0,[]
venkatesh s,Next part of this video??,2023-06-12T02:20:38Z,2023-06-12T02:20:38Z,0,0,[]
Harsh Vishwakarma,"The way you explained this confusing topic, i found that your confidence interval is 99.99% .So we accept our Null Hypothesis Ho based all the evidences given in the video  which is is given as :
Ho : Krish is the best teacher. ğŸ˜…",2023-05-17T15:41:49Z,2023-05-17T15:41:49Z,0,0,[]
Nobita Nobi,Yaar series complete toh kr doo,2023-05-15T01:26:17Z,2023-05-15T01:26:17Z,0,0,[]
32A Sneha Nathe,Super,2023-04-02T12:14:33Z,2023-04-02T12:14:33Z,0,0,[]
Kapil Bhati,"Very good video , understood the concept easily ..thank you",2023-03-25T07:07:43Z,2023-03-25T07:07:43Z,0,0,[]
Belal razaa,thnk u bhaiâ¤â€ğŸ”¥,2023-03-13T18:12:15Z,2023-03-13T18:12:15Z,0,0,[]
Code Dish,Hi you lei almost every video. Most of the time you tell that you are going to  make a video like peroto plot with python but you do not make. Please ğŸ¥º do this. It a complaint towards you :(,2023-02-23T08:08:16Z,2023-02-23T08:08:16Z,0,0,[]
Lakshita Thakor,Concept clear karne k lie thank you sirğŸ‘,2023-02-13T07:46:13Z,2023-02-13T07:46:13Z,0,0,[]
Sonam Rumi,Next please exam hone wale h,2023-01-16T15:08:46Z,2023-01-16T15:08:46Z,0,0,[]
Ruhi Raj,Sir please upload more lectures of  ML,2023-01-01T10:51:37Z,2023-01-01T10:51:37Z,0,0,[]
Imran Khan,Is this playlist complete?,2022-11-29T14:19:05Z,2022-11-29T14:19:05Z,1,0,[]
moti-fy,bhai pareto distrubution ke aage ke vidoes nahi hai kya playlist me.,2022-10-15T04:55:26Z,2022-10-15T04:55:26Z,0,0,[]
m sk,will you please upload the bessel correction video with mathematical explaination,2022-10-13T10:43:55Z,2022-10-13T10:43:55Z,0,0,[]
Siddheshwar Kshirsagar,Krish waitying for next videos in same playlist.,2022-10-10T05:40:52Z,2022-10-10T05:40:52Z,0,0,[]
Rabiul Miah,Waiting for next episodes of this course....,2022-09-12T09:31:29Z,2022-09-12T09:31:29Z,0,0,[]
Rohit Kumar Raghav,How many vedios of stats  would come further?,2022-09-09T20:18:16Z,2022-09-09T20:18:16Z,0,0,[]
Onkar Jadhav,sir please upload next videos,2022-09-06T12:25:10Z,2022-09-06T12:25:10Z,1,0,[]
Shavilya Rajput,Please upload box cox trasformation practical video krish sir,2022-08-20T15:23:01Z,2022-08-20T15:23:01Z,3,0,[]
Shihab Uddin Aopi,I am from Bangladesh .U have such great quality .Krish please upload the next video asap.,2022-08-15T20:24:25Z,2022-08-15T20:24:25Z,0,0,[]
dhkgyif,Sir apna abhi tak pura material upload nhi kiya h,2022-08-09T09:44:47Z,2022-08-09T09:44:47Z,1,0,[]
Feeling Learning,sir please upload the video regarding  p value,2022-08-08T08:21:54Z,2022-08-08T08:21:54Z,1,0,[]
Neha Singh,sir next video  plz,2022-08-03T16:36:27Z,2022-08-03T16:36:27Z,0,0,[]
Prakash Dandgule,sir plz jaldi se jaldi playlist complete kijiye sir plz ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™,2022-07-25T11:17:34Z,2022-07-25T11:17:34Z,0,0,[]
Prakash Dandgule,sir plz jaldi se jaldi playlist complete kijiye sir plz ğŸ™ğŸ™ğŸ™ğŸ™ğŸ™,2022-07-25T11:17:23Z,2022-07-25T11:17:23Z,1,0,[]
umesh samal,Please deploy end to end data science project,2022-07-22T11:17:08Z,2022-07-22T11:17:08Z,0,0,[]
Khan Jan,Ap is channel per zayada videos nahe dalte,2022-07-22T05:31:42Z,2022-07-22T05:31:42Z,3,0,[]
osama Khan,thank u so much dear sir,2022-07-21T06:50:26Z,2022-07-21T06:50:26Z,0,0,[]
GoodğŸµï¸ğŸµï¸,â¤ï¸â¤ï¸ğŸ’•ğŸ’•,2022-07-20T13:36:12Z,2022-07-20T13:36:12Z,0,0,[]
pratyush jha,Thank you Krish for this video this would definitely help me a lot,2022-07-19T20:38:22Z,2022-07-19T20:38:22Z,0,0,[]
dipanshu awhad,Thanks sir you great,2022-07-19T14:02:57Z,2022-07-19T14:02:57Z,0,0,[]
dipanshu awhad,After long time finally video on statistics,2022-07-19T14:02:27Z,2022-07-19T14:02:27Z,0,0,[]
Zaafir C,"Nice video Krish!

A small clarification for your viewers, we never say: ""Accept the null hypothesis""
We should rather say ""fail to reject"".

The sample test is not evidence proving the null.
The sample test should always be considered as evidence disproving the null.
If the sample test result is strong enough, then we are successful in disproving the null, ""Reject the null hypothesis"".
if the sample test result is not strong enough, then we have not been successful in disproving the null, ""fail to reject the null hypothesis"".


An analogy can be:

Ho: Krish is innocent
H1: Krish is guilty

Sample test: Compare krish's fingerprints with fingerprints found on crime scene

If fingerprints match, we have strong evidence from sample test that krish was on crime scene, so we ""reject the null that he is innocent""

However, if fingerprints do not match, we do not have strong evidence that krish was on crime scene, so we ""fail to reject null that he is innocent""

Here, again, we do not know that he is actually innocent. Our test does not prove his innocence. Our test is just not strong enough to prove that he is guilty. (who knows he might have wore gloves :) )",2022-07-19T12:17:57Z,2022-07-19T12:17:57Z,24,1,[]
Shashank Suresh Shahi,Do you have any plans to make video on Estimation & Maximum Likelihood Estimation in detail ?,2022-07-19T10:43:42Z,2022-07-19T10:43:42Z,3,0,[]
Asif Ali,Long time to wait for continuing statistics thanks sr,2022-07-19T10:14:04Z,2022-07-19T10:14:04Z,0,0,[]
